x-axis,4
second,Volt
+2.500000E-06,
+2.504375E-06,
+2.508750E-06,
+2.513125E-06,
+2.517500E-06,-29.572392914E-03
+2.521875E-06,-29.680747184E-03
+2.526250E-06,-29.709013515E-03
+2.530625E-06,-29.638347687E-03
+2.535000E-06,-29.445194423E-03
+2.539375E-06,-29.131124074E-03
+2.543750E-06,-28.688284883E-03
+2.548125E-06,-28.111965794E-03
+2.552500E-06,-27.389603993E-03
+2.556875E-06,-26.518058776E-03
+2.561250E-06,-25.503611550E-03
+2.565625E-06,-24.361965834E-03
+2.570000E-06,-23.116676903E-03
+2.574375E-06,-21.781877922E-03
+2.578750E-06,-20.359139244E-03
+2.583125E-06,-18.883008606E-03
+2.587500E-06,-17.366048824E-03
+2.591875E-06,-15.819252358E-03
+2.596250E-06,-14.258322726E-03
+2.600625E-06,-12.706815205E-03
+2.605000E-06,-11.175722257E-03
+2.609375E-06,-9.693310212E-03
+2.613750E-06,-8.262719775E-03
+2.618125E-06,-6.891802705E-03
+2.622500E-06,-5.594692166E-03
+2.626875E-06,-4.369817807E-03
+2.631250E-06,-3.228172091E-03
+2.635625E-06,-2.165043961E-03
+2.640000E-06,-1.180433419E-03
+2.644375E-06,-274.340464E-06
+2.648750E-06,+562.657015E-06
+2.653125E-06,+1.327418313E-03
+2.657500E-06,+2.034076597E-03
+2.661875E-06,+2.693624328E-03
+2.666250E-06,+3.320194674E-03
+2.670625E-06,+3.909076577E-03
+2.675000E-06,+4.471262500E-03
+2.679375E-06,+5.008322796E-03
+2.683750E-06,+5.540672037E-03
+2.688125E-06,+6.058888112E-03
+2.692500E-06,+6.566111724E-03
+2.696875E-06,+7.079616744E-03
+2.701250E-06,+7.597832819E-03
+2.705625E-06,+8.119189597E-03
+2.710000E-06,+8.631124265E-03
+2.714375E-06,+9.161903154E-03
+2.718750E-06,+9.706815208E-03
+2.723125E-06,+10.242305152E-03
+2.727500E-06,+10.780935800E-03
+2.731875E-06,+11.305433281E-03
+2.736250E-06,+11.826790060E-03
+2.740625E-06,+12.370131763E-03
+2.745000E-06,+12.908762410E-03
+2.749375E-06,+13.428548837E-03
+2.753750E-06,+13.959327725E-03
+2.758125E-06,+14.475973448E-03
+2.762500E-06,+14.970634247E-03
+2.766875E-06,+15.455872935E-03
+2.771250E-06,+15.920697051E-03
+2.775625E-06,+16.354114132E-03
+2.780000E-06,+16.776538750E-03
+2.784375E-06,+17.180119148E-03
+2.788750E-06,+17.555433215E-03
+2.793125E-06,+17.907192005E-03
+2.797500E-06,+18.216551298E-03
+2.801875E-06,+18.485081446E-03
+2.806250E-06,+18.719063855E-03
+2.810625E-06,+18.902795009E-03
+2.815000E-06,+19.026852797E-03
+2.819375E-06,+19.111651791E-03
+2.823750E-06,+19.143058826E-03
+2.828125E-06,+19.111651791E-03
+2.832500E-06,+19.022141742E-03
+2.836875E-06,+18.879239733E-03
+2.841250E-06,+18.686086469E-03
+2.845625E-06,+18.433259838E-03
+2.850000E-06,+18.133322656E-03
+2.854375E-06,+17.794126679E-03
+2.858750E-06,+17.406249799E-03
+2.863125E-06,+16.977543773E-03
+2.867500E-06,+16.522141768E-03
+2.871875E-06,+16.029051321E-03
+2.876250E-06,+15.609767406E-03
+2.880625E-06,+15.204616657E-03
+2.885000E-06,+14.466551338E-03
+2.889375E-06,+13.821136772E-03
+2.893750E-06,+13.426978485E-03
+2.898125E-06,+12.872644320E-03
+2.902500E-06,+12.352857893E-03
+2.906875E-06,+11.839352874E-03
+2.911250E-06,+11.339981020E-03
+2.915625E-06,+10.867305145E-03
+2.920000E-06,+10.426036306E-03
+2.924375E-06,+10.022455908E-03
+2.928750E-06,+9.672267470E-03
+2.933125E-06,+9.383322749E-03
+2.937500E-06,+9.155621747E-03
+2.941875E-06,+9.000156924E-03
+2.946250E-06,+8.943624262E-03
+2.950625E-06,+8.993875517E-03
+2.955000E-06,+9.152481043E-03
+2.959375E-06,+9.441425764E-03
+2.963750E-06,+9.873272493E-03
+2.968125E-06,+10.446450879E-03
+2.972500E-06,+11.162531273E-03
+2.976875E-06,+12.037217193E-03
+2.981250E-06,+13.054805122E-03
+2.985625E-06,+14.209013652E-03
+2.990000E-06,+15.493561377E-03
+2.994375E-06,+16.877041262E-03
+2.998750E-06,+18.353171899E-03
+3.003125E-06,+19.903109069E-03
+3.007500E-06,+21.501727142E-03
+3.011875E-06,+23.122330140E-03
+3.016250E-06,+24.725659268E-03
+3.020625E-06,+26.299151714E-03
+3.025000E-06,+27.830244662E-03
+3.029375E-06,+29.271827561E-03
+3.033750E-06,+30.616048653E-03
+3.038125E-06,+31.855056177E-03
+3.042500E-06,+32.968435562E-03
+3.046875E-06,+33.929490828E-03
+3.051250E-06,+34.739792327E-03
+3.055625E-06,+35.402480762E-03
+3.060000E-06,+35.909704375E-03
+3.064375E-06,+36.266174220E-03
+3.068750E-06,+36.475031002E-03
+3.073125E-06,+36.542556127E-03
+3.077500E-06,+36.473460650E-03
+3.081875E-06,+36.280307386E-03
+3.086250E-06,+35.988221962E-03
+3.090625E-06,+35.595634026E-03
+3.095000E-06,+35.110395338E-03
+3.099375E-06,+34.556061173E-03
+3.103750E-06,+33.937342587E-03
+3.108125E-06,+33.276224503E-03
+3.112500E-06,+32.583699385E-03
+3.116875E-06,+31.858196880E-03
+3.121250E-06,+31.120131562E-03
+3.125625E-06,+30.364792374E-03
+3.130000E-06,+29.592179317E-03
+3.134375E-06,+28.802292391E-03
+3.138750E-06,+28.013975816E-03
+3.143125E-06,+27.227229593E-03
